127,0,Movie,Single,9/28/2018,2015,TV-PG,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",81002864
108,0,Movie,The 3rd Eye,9/28/2018,2018,TV-MA,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.",81016750
163,0,Movie,The Sinking Of Van Der Wijck,9/28/2018,2013,TV-14,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.",81002866
117,0,Movie,Two Catalonias,9/28/2018,2018,TV-MA,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.,80992039
106,0,Movie,Bobby Sands: 66 Days,9/28/2017,2016,TV-14,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.",80126507
0,1,TV Show,Bard of Blood,9/27/2019,2019,TV-MA,"Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.",80225885
102,0,Movie,Deliha 2,9/27/2019,2018,TV-PG,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.",81132443
0,1,TV Show,Dragons: Rescue Riders,9/27/2019,2019,TV-Y,"Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.",80218107
116,0,Movie,In the Shadow of the Moon,9/27/2019,2019,TV-MA,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,80231903
0,1,TV Show,Skylines,9/27/2019,2019,TV-MA,A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.,80220715
42,0,Movie,Sturgill Simpson Presents Sound & Fury,9/27/2019,2019,TV-MA,"In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents.",81171121
0,1,TV Show,The Politician,9/27/2019,2019,TV-14,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.,80241248
95,0,Movie,Weeds on Fire,9/27/2018,2016,TV-14,"In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league.",81012295
104,0,Movie,Much Loved,9/27/2017,2015,TV-MA,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.,80060037
75,0,Movie,Joseph: King of Dreams,9/27/2011,2000,TV-PG,"With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.",60003155
